SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170061070,0.3333333333333333,,3.0,
480170061071,34.48936170212766,9.0,1.4444444444444444,
480170061072,,,0.0,
480170061073,10.127659574468085,6.0,2.8,
480170061075,0.0,,,
480170061076,41.125,,1.5,
480170061077,1.0,,,
480170061078,2.0,,,
480170061079,110.0,,,
480170061081,,,5.0,
480170061082,1.0,,1.0,
480170061086,0.5,,,
480170061087,2.0,,,
480170061089,1.0,,,
480170061090,33.0,,21.5,
480170061091,4.833333333333333,,2.25,
480170061092,3.85,,3.090909090909091,
480170061094,28.725,,3.533333333333333,
480170061095,,,0.0,
480170061099,1.0,,,
480170061100,0.5,,3.0,
480170061104,4.0,,5.0,
480170061106,,,0.0,
480170061109,,,1.0,
480170061110,35.1,,2.25,
480170061111,1.0,,,
480170061112,18.954545454545453,3.0,1.25,
480170061114,0.0,,1.0,
480170061115,25.545454545454547,,2.8,
480170061118,,,1.0,
480170061119,1.0,,2.0,
480170061120,1.0,,2.0,
480170061121,21.75,2.0,9.0,
480170061123,0.6666666666666666,,,
480170061124,,,1.0,
480170061125,1.0,,3.0,
480170061127,1.0,,3.0,
480170061132,13.944444444444445,,2.7142857142857144,
480170061133,1.0,,,
480170061134,,,1.0,
480170061135,13.421052631578947,,20.0,
480170061137,3.5,,4.0,
480170061141,30.2,,0.0,
480170061145,0.0,,3.0,
480170061149,15.31578947368421,1.0,2.2,
480170061150,,,2.0,
480170061153,13.6,,18.0,
480170061157,46.333333333333336,,3.3333333333333335,
480170061160,32.73684210526316,5.0,1.5,
480170061161,1.0,,,
480170061165,3.6666666666666665,,2.75,
480170061169,1.0,,,
480170061170,19.333333333333332,9.0,2.0,
480170061173,1.0,,,
480170061174,1.5,,,
480170061176,5.0,,,
480170061177,23.466666666666665,,1.7619047619047619,3.5
480170061179,,,1.0,
480170061180,7.666666666666667,,,
480170061183,,,2.0,
480170061186,34.45,6.0,9.0,
480170061191,1.0,,,
480170061194,62.1,,3.0526315789473686,0.0
480170061196,1.0,,,
480170061201,3.7857142857142856,,3.5,
480170061203,2.0,,,
480170061206,1.6666666666666667,,,
480170061208,12.0,,,
480170061210,0.0,,,
480170061213,13.0,,,
480170061214,7.5,,,
480170061217,1.0,,3.3333333333333335,
480170061221,17.96875,5.6,4.0,
480170061222,17.833333333333332,,12.0,
480170061223,7.0,,,
480170061224,0.0,,,
480170061226,11.705882352941176,1.0,3.6666666666666665,2.75
480170061232,184.88888888888889,,4.333333333333333,
480170061235,9.0,,3.0,
480170061237,,,1.0,
480170061238,9.5,,,
480170061239,1.0,,,
480170061243,1.0,,,
480170061244,25.047619047619047,0.0,3.0,
480170061245,1.0,,1.0,
480170061247,1.6666666666666667,,,
480170061249,2.0,,,
480170061251,1.0,,2.0,
480170061252,33.69230769230769,,,
480170061257,194.44444444444446,7.5,3.25,5.0
480170061258,3.0,,,
480170061259,638.875,,,
480170061261,55.666666666666664,3.0,2.5,2.0
480170061262,8.0,,3.3333333333333335,
480170061263,24.4375,,3.090909090909091,
