census_tract_id,AGG_COUNT,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,P1,A46,A47,PF1,E3,E27,calculated_host_listings_count,bedrooms,accommodates
"480170060545","14","12","14","9","392","126","70","224","56","518","380","27","65"
"480170060546","1","1","0","0","381","39","114","176","24","181","1","1","2"
"480170060547","15","15","14","10","1590","150","465","735","135","795","76","29","66"
"480170060548","2","2","2","2","4","0","0","4","6","20","5","4","10"
"480170060551","22","21","20","16","3388","528","1144","1870","374","2068","295","38","103"
"480170060554","9","8","9","9","45","0","18","27","27","117","262","16","38"
"480170060555","4","4","1","0","1092","36","408","496","92","528","5","5","10"
"480170060557","19","17","17","9","4161","798","1311","2394","646","2204","249","27","70"
"480170060558","8","8","8","5","848","176","256","504","128","504","98","13","32"
"480170060559","70","61","64","39","1750","350","350","910","280","1890","1079","111","289"
"480170060560","14","14","11","8","1148","336","252","686","126","812","173","19","57"
"480170060561","5","5","4","0","1470","95","505","685","180","795","5","9","19"
"480170060563","10","9","10","3","2750","320","990","1420","360","1300","17","13","32"
"480170060564","2","2","0","1","166","8","60","72","26","110","4","2","3"
"480170060565","24","22","23","17","3816","504","1320","2136","552","3048","1144","37","110"
"480170060566","15","15","13","6","690","120","270","435","75","675","235","29","81"
"480170060568","2","2","1","1","290","22","118","160","22","202","173","3","6"
"480170060570","16","15","15","7","704","304","96","432","128","464","219","24","64"
"480170060571","19","18","19","10","1349","57","570","703","133","494","284","31","78"
"480170060573","12","12","12","4","1032","132","468","684","168","744","207","18","50"
"480170060574","53","50","43","35","3021","424","901","1537","742","1696","1038","81","210"
"480170060576","7","7","5","0","2037","280","693","1078","245","1260","9","12","26"
"480170060577","43","42","42","23","5375","860","1462","2838","860","3483","479","89","200"
"480170060578","2","2","2","0","1064","76","386","496","48","474","2","3","6"
"480170060580","2","2","2","0","902","108","330","468","94","484","2","3","8"
"480170060581","25","25","24","20","2050","200","850","1250","325","1200","462","48","121"
"480170060582","3","3","3","0","819","183","192","399","84","423","3","4","7"
"480170060583","9","8","8","4","918","198","243","522","99","684","72","18","44"
"480170060584","19","15","19","9","1539","228","589","950","133","1615","324","26","80"
"480170060585","4","4","3","3","208","52","52","120","32","232","29","6","16"
"480170060586","14","14","10","11","420","168","84","266","98","294","239","21","62"
"480170060588","19","16","17","8","3534","475","1197","1824","418","1900","612","27","75"
"480170060589","32","30","31","19","4608","928","1632","2880","640","3680","647","64","142"
"480170060590","13","13","3","10","2184","195","754","1014","247","1352","71","15","30"
"480170060591","14","14","10","3","14","14","0","14","14","14","218","19","47"
"480170060592","8","6","6","5","1264","160","384","768","144","1080","171","11","31"
"480170060593","26","22","22","22","7176","1222","2184","4472","1092","6552","415","39","96"
"480170060594","2","2","2","1","952","62","340","468","42","592","6","5","12"
"480170060595","11","11","10","4","869","176","220","462","88","649","30","20","49"
"480170060597","19","19","18","10","0","0","0","0","0","0","422","32","90"
"480170060598","1","1","1","0","256","32","85","132","36","154","1","2","5"
"480170060599","23","23","22","10","2714","437","897","1610","483","1656","383","37","91"
"480170060600","1","1","0","0","118","11","40","56","19","82","2","1","1"
"480170060601","6","6","5","4","162","36","30","90","30","60","26","8","21"
"480170060602","2","2","2","0","312","42","106","152","48","228","3","2","8"
"480170060603","20","17","15","8","2160","300","660","1060","260","1240","172","30","68"
"480170060604","2","2","2","1","0","0","0","0","0","0","174","2","6"
"480170060605","20","18","18","12","1520","300","460","840","120","920","364","31","82"
"480170060606","56","53","46","21","18144","1904","5600","8400","1288","8792","419","73","190"
"480170060607","8","6","8","5","0","0","0","0","8","24","155","12","37"
"480170060608","16","14","14","7","672","224","208","448","112","816","122","29","59"
"480170060609","13","11","12","8","195","78","26","117","65","143","104","23","61"
"480170060612","5","5","5","0","355","55","115","180","30","135","7","8","19"
"480170060613","4","3","4","2","140","12","56","80","20","104","40","6","18"
"480170060614","15","13","14","7","3165","465","1230","1905","495","2310","82","19","57"
"480170060615","2","2","2","1","698","48","282","362","52","324","93","4","10"
"480170060616","4","4","1","3","1528","96","516","700","148","756","9","4","8"
"480170060617","14","10","13","7","840","196","294","588","168","658","522","24","60"
"480170060619","17","16","15","9","221","85","0","119","17","68","117","24","65"
"480170060620","3","3","2","1","615","33","234","324","96","378","7","5","12"
"480170060621","6","5","6","5","60","12","48","60","6","66","252","18","37"
"480170060622","27","25","21","14","2970","432","1242","1863","459","1782","316","37","108"
"480170060623","14","13","13","8","504","84","182","378","126","714","190","17","54"
"480170060624","2","2","1","0","632","40","198","274","30","282","2","2","5"
"480170060625","11","11","10","9","484","154","99","253","88","429","227","11","41"
"480170060626","25","25","22","7","6650","950","2275","3475","850","3725","139","42","112"
"480170060628","20","20","16","15","3820","1500","260","1900","220","2160","910","27","75"
"480170060629","20","19","16","10","1300","260","300","760","200","900","337","24","58"
"480170060630","12","9","11","7","384","48","108","204","36","288","517","16","45"
"480170060631","10","9","9","7","1290","310","390","770","140","680","414","12","35"
"480170060632","12","10","10","6","2616","300","960","1356","396","1416","210","14","37"
"480170060633","2","2","1","0","50","4","22","28","10","64","2","2","4"
"480170060634","2","2","2","1","898","120","324","478","64","464","4","3","7"
"480170060635","2","2","2","0","300","30","106","152","32","164","3","5","11"
"480170060636","4","3","3","3","68","12","20","32","8","44","67","9","18"
"480170060639","4","4","4","3","0","0","0","0","0","0","17","5","14"
"480170060640","5","5","5","2","175","45","55","135","25","150","24","5","16"
"480170060641","12","12","12","6","228","60","84","156","60","1008","61","23","54"
"480170060642","31","30","27","22","1767","248","589","1085","248","1581","174","52","141"
"480170060643","22","20","20","18","682","110","198","352","88","594","324","27","87"
"480170060644","13","12","12","5","169","13","78","130","91","260","161","24","63"
"480170060645","4","4","4","3","196","40","80","140","44","124","38","6","17"
